REG_AREA,area,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2A,2A,600,550,520,520,700,820,760,830,"1,140","1,310","1,310","1,480","1,330","1,380","1,340","1,220",950,810,910,989,990,960,970,1140," 1,211 "," 1,256 "," 1,250 "," 1,344 "
2B,2B,"10,500","10,000","9,520","9,520","12,500","13,000","12,100","10,600","10,510","11,750","11,750","13,800","13,250","13,220","11,470","9,000","7,630","7,500","7,650","7,038","7,038","6,850","7,038","7,300"," 9,036 "," 9,268 "," 9,224 "," 9,867 "
2C,2C,"10,000","11,000","9,000","9,000","10,000","10,500","10,490","8,400","8,780","8,500","8,500","10,500","10,930","10,630","8,510","6,210","5,020","4,400","2,330","2,624","2,970","4,160","4,650","4,950"," 5,133 "," 5,122 "," 5,006 "," 5,278 "
3A,3A,"20,700","26,000","20,000","20,000","25,000","26,000","24,670","18,310","21,890","22,630","22,630","25,060","25,470","25,200","26,200","24,220","21,700","19,990","14,360","11,918","11,030","9,430","10,100","9,600"," 16,819 "," 16,904 "," 16,241 "," 16,656 "
3B,3B,"6,500","4,000","3,700","3,700","9,000","11,000","13,370","15,030","16,530","17,130","17,130","15,600","13,150","10,860","9,220","10,900","10,900","9,900","7,510","5,070","4,290","2,840","2,650","2,710"," 6,765 "," 6,894 "," 6,547 "," 6,527 "
4A,4A,"2,020","1,800","1,950","1,950","2,940","3,500","4,240","4,970","4,970","4,970","4,970","3,470","3,440","3,350","2,890","3,100","2,550","2,330","2,410","1,567","1,330",850,"1,390","1,390"," 2,118 "," 2,158 "," 2,073 "," 2,145 "
4B,4B,"2,300","2,100","2,310","2,310","3,480","3,500","3,980","4,910","4,910","4,180","4,180","2,810","2,260","1,670","1,440","1,860","1,870","2,160","2,180","1,869","1,450","1,140","1,140","1,140"," 1,853 "," 1,966 "," 1,960 "," 2,075 "
4C,4CDE,"1,720","1,500","1,660","1,660","2,580","3,500","4,450","4,450","4,450","4,450","4,450","3,785","3,989","3,550","4,100","3,890","3,460","3,580","3,720","2,465","1,930","1,285","1,285","1,660"," 2,908 "," 2,954 "," 2,864 "," 2,969 "
4D,4CDE,"1,720","1,500","1,660","1,660","2,580","3,500","4,450","4,450","4,450","4,450","4,450","3,785","3,989","3,550","4,100","3,890","3,460","3,580","3,720","2,465","1,930","1,285","1,285","1,660"," 2,908 "," 2,954 "," 2,864 "," 2,969 "
4E,4CDE,"1,720","1,500","1,660","1,660","2,580","3,500","4,450","4,450","4,450","4,450","4,450","3,785","3,989","3,550","4,100","3,890","3,460","3,580","3,720","2,465","1,930","1,285","1,285","1,660"," 2,908 "," 2,954 "," 2,864 "," 2,969 "
