REG_AREA,AREA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2A,2A,600,550,520,520,700,820,760,830,"1,140","1,310","1,310","1,480","1,330","1,380","1,340","1,220",950,810,910,989,990,960,970,1140,1210.65,1255.78,1249.82,1344.14
2B,2B,"10,500","10,000","9,520","9,520","12,500","13,000","12,100","10,600","10,510","11,750","11,750","13,800","13,250","13,220","11,470","9,000","7,630","7,500","7,650","7,038","7,038","6,850","7,038","7,300",9035.93,9267.91,9224.24,9866.74
2C,2C,"10,000","11,000","9,000","9,000","10,000","10,500","10,490","8,400","8,780","8,500","8,500","10,500","10,930","10,630","8,510","6,210","5,020","4,400","2,330","2,624","2,970","4,160","4,650","4,950",5132.86,5122.26,5005.71,5278.17
3A,3A,"20,700","26,000","20,000","20,000","25,000","26,000","24,670","18,310","21,890","22,630","22,630","25,060","25,470","25,200","26,200","24,220","21,700","19,990","14,360","11,918","11,030","9,430","10,100","9,600",16818.72,16904.22,16241.01,16655.99
3B,3B,"6,500","4,000","3,700","3,700","9,000","11,000","13,370","15,030","16,530","17,130","17,130","15,600","13,150","10,860","9,220","10,900","10,900","9,900","7,510","5,070","4,290","2,840","2,650","2,710",6765.13,6893.66,6546.70,6527.44
4A,4A,"2,020","1,800","1,950","1,950","2,940","3,500","4,240","4,970","4,970","4,970","4,970","3,470","3,440","3,350","2,890","3,100","2,550","2,330","2,410","1,567","1,330",850,"1,390","1,390",2118.09,2158.09,2072.83,2144.82
4B,4B,"2,300","2,100","2,310","2,310","3,480","3,500","3,980","4,910","4,910","4,180","4,180","2,810","2,260","1,670","1,440","1,860","1,870","2,160","2,180","1,869","1,450","1,140","1,140","1,140",1853.04,1965.73,1960.13,2075.11
4C,4CDE,"1,720","1,500","1,660","1,660","2,580","3,500","4,450","4,450","4,450","4,450","4,450","3,785","3,989","3,550","4,100","3,890","3,460","3,580","3,720","2,465","1,930","1,285","1,285","1,660",2908.42,2953.95,2863.66,2968.56
4D,4CDE,"1,720","1,500","1,660","1,660","2,580","3,500","4,450","4,450","4,450","4,450","4,450","3,785","3,989","3,550","4,100","3,890","3,460","3,580","3,720","2,465","1,930","1,285","1,285","1,660",2908.42,2953.95,2863.66,2968.56
4E,4CDE,"1,720","1,500","1,660","1,660","2,580","3,500","4,450","4,450","4,450","4,450","4,450","3,785","3,989","3,550","4,100","3,890","3,460","3,580","3,720","2,465","1,930","1,285","1,285","1,660",2908.42,2953.95,2863.66,2968.56
,,54340,56950,48660,48660,66200,71820,74060,67500,73180,74920,74920,76505,73819,69860,65170,60400,54080,50670,41070,33540,31028,27515,29223,29890,45842.85324,46521.59999,45164.1065,46860.97337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8.315643665,7.956492967,7.351808042,7.5521094,8.627534036,7.89120531,7.049232713,7.252876556,7.481040933,8.04339708,8.639753233,8.309205288,8.690547748,7.675917638,7.286027233,7.060301219,7.323862843,7.619205312,7.584410807,7.017260128,8.275945014,9.141890203,8.977232698,9.4917979,9.5,9.4,9.6,9.35
,,1%,1%,1%,1%,1%,1%,1%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,4%,3%,3%,3%,3%
,,19%,18%,20%,20%,19%,18%,16%,16%,14%,16%,16%,18%,18%,19%,18%,15%,14%,15%,19%,21%,23%,25%,24%,24%,20%,20%,20%,21%
,,18%,19%,18%,18%,15%,15%,14%,12%,12%,11%,11%,14%,15%,15%,13%,10%,9%,9%,6%,8%,10%,15%,16%,17%,11%,11%,11%,11%
,,38%,46%,41%,41%,38%,36%,33%,27%,30%,30%,30%,33%,35%,36%,40%,40%,40%,39%,35%,36%,36%,34%,35%,32%,37%,36%,36%,36%
,,12%,7%,8%,8%,14%,15%,18%,22%,23%,23%,23%,20%,18%,16%,14%,18%,20%,20%,18%,15%,14%,10%,9%,9%,15%,15%,14%,14%
,,4%,3%,4%,4%,4%,5%,6%,7%,7%,7%,7%,5%,5%,5%,4%,5%,5%,5%,6%,5%,4%,3%,5%,5%,5%,5%,5%,5%
,,4%,4%,5%,5%,5%,5%,5%,7%,7%,6%,6%,4%,3%,2%,2%,3%,3%,4%,5%,6%,5%,4%,4%,4%,4%,4%,4%,4%
,,3%,3%,3%,3%,4%,5%,6%,7%,6%,6%,6%,5%,5%,5%,6%,6%,6%,7%,9%,7%,6%,5%,4%,6%,6%,6%,6%,6%
,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
