,reg_area,variable,value
1,2A,X1993,600
2,2B,X1993,"10,500"
3,2C,X1993,"10,000"
4,3A,X1993,"20,700"
5,3B,X1993,"6,500"
6,4A,X1993,"2,020"
7,4B,X1993,"2,300"
8,4C,X1993,"1,720"
9,4D,X1993,"1,720"
10,4E,X1993,"1,720"
11,2A,X1994,550
12,2B,X1994,"10,000"
13,2C,X1994,"11,000"
14,3A,X1994,"26,000"
15,3B,X1994,"4,000"
16,4A,X1994,"1,800"
17,4B,X1994,"2,100"
18,4C,X1994,"1,500"
19,4D,X1994,"1,500"
20,4E,X1994,"1,500"
21,2A,X1995,520
22,2B,X1995,"9,520"
23,2C,X1995,"9,000"
24,3A,X1995,"20,000"
25,3B,X1995,"3,700"
26,4A,X1995,"1,950"
27,4B,X1995,"2,310"
28,4C,X1995,"1,660"
29,4D,X1995,"1,660"
30,4E,X1995,"1,660"
31,2A,X1996,520
32,2B,X1996,"9,520"
33,2C,X1996,"9,000"
34,3A,X1996,"20,000"
35,3B,X1996,"3,700"
36,4A,X1996,"1,950"
37,4B,X1996,"2,310"
38,4C,X1996,"1,660"
39,4D,X1996,"1,660"
40,4E,X1996,"1,660"
41,2A,X1997,700
42,2B,X1997,"12,500"
43,2C,X1997,"10,000"
44,3A,X1997,"25,000"
45,3B,X1997,"9,000"
46,4A,X1997,"2,940"
47,4B,X1997,"3,480"
48,4C,X1997,"2,580"
49,4D,X1997,"2,580"
50,4E,X1997,"2,580"
51,2A,X1998,820
52,2B,X1998,"13,000"
53,2C,X1998,"10,500"
54,3A,X1998,"26,000"
55,3B,X1998,"11,000"
56,4A,X1998,"3,500"
57,4B,X1998,"3,500"
58,4C,X1998,"3,500"
59,4D,X1998,"3,500"
60,4E,X1998,"3,500"
61,2A,X1999,760
62,2B,X1999,"12,100"
63,2C,X1999,"10,490"
64,3A,X1999,"24,670"
65,3B,X1999,"13,370"
66,4A,X1999,"4,240"
67,4B,X1999,"3,980"
68,4C,X1999,"4,450"
69,4D,X1999,"4,450"
70,4E,X1999,"4,450"
71,2A,X2000,830
72,2B,X2000,"10,600"
73,2C,X2000,"8,400"
74,3A,X2000,"18,310"
75,3B,X2000,"15,030"
76,4A,X2000,"4,970"
77,4B,X2000,"4,910"
78,4C,X2000,"4,450"
79,4D,X2000,"4,450"
80,4E,X2000,"4,450"
81,2A,X2001,"1,140"
82,2B,X2001,"10,510"
83,2C,X2001,"8,780"
84,3A,X2001,"21,890"
85,3B,X2001,"16,530"
86,4A,X2001,"4,970"
87,4B,X2001,"4,910"
88,4C,X2001,"4,450"
89,4D,X2001,"4,450"
90,4E,X2001,"4,450"
91,2A,X2002,"1,310"
92,2B,X2002,"11,750"
93,2C,X2002,"8,500"
94,3A,X2002,"22,630"
95,3B,X2002,"17,130"
96,4A,X2002,"4,970"
97,4B,X2002,"4,180"
98,4C,X2002,"4,450"
99,4D,X2002,"4,450"
100,4E,X2002,"4,450"
101,2A,X2003,"1,310"
102,2B,X2003,"11,750"
103,2C,X2003,"8,500"
104,3A,X2003,"22,630"
105,3B,X2003,"17,130"
106,4A,X2003,"4,970"
107,4B,X2003,"4,180"
108,4C,X2003,"4,450"
109,4D,X2003,"4,450"
110,4E,X2003,"4,450"
111,2A,X2004,"1,480"
112,2B,X2004,"13,800"
113,2C,X2004,"10,500"
114,3A,X2004,"25,060"
115,3B,X2004,"15,600"
116,4A,X2004,"3,470"
117,4B,X2004,"2,810"
118,4C,X2004,"3,785"
119,4D,X2004,"3,785"
120,4E,X2004,"3,785"
121,2A,X2005,"1,330"
122,2B,X2005,"13,250"
123,2C,X2005,"10,930"
124,3A,X2005,"25,470"
125,3B,X2005,"13,150"
126,4A,X2005,"3,440"
127,4B,X2005,"2,260"
128,4C,X2005,"3,989"
129,4D,X2005,"3,989"
130,4E,X2005,"3,989"
131,2A,X2006,"1,380"
132,2B,X2006,"13,220"
133,2C,X2006,"10,630"
134,3A,X2006,"25,200"
135,3B,X2006,"10,860"
136,4A,X2006,"3,350"
137,4B,X2006,"1,670"
138,4C,X2006,"3,550"
139,4D,X2006,"3,550"
140,4E,X2006,"3,550"
141,2A,X2007,"1,340"
142,2B,X2007,"11,470"
143,2C,X2007,"8,510"
144,3A,X2007,"26,200"
145,3B,X2007,"9,220"
146,4A,X2007,"2,890"
147,4B,X2007,"1,440"
148,4C,X2007,"4,100"
149,4D,X2007,"4,100"
150,4E,X2007,"4,100"
151,2A,X2008,"1,220"
152,2B,X2008,"9,000"
153,2C,X2008,"6,210"
154,3A,X2008,"24,220"
155,3B,X2008,"10,900"
156,4A,X2008,"3,100"
157,4B,X2008,"1,860"
158,4C,X2008,"3,890"
159,4D,X2008,"3,890"
160,4E,X2008,"3,890"
161,2A,X2009,950
162,2B,X2009,"7,630"
163,2C,X2009,"5,020"
164,3A,X2009,"21,700"
165,3B,X2009,"10,900"
166,4A,X2009,"2,550"
167,4B,X2009,"1,870"
168,4C,X2009,"3,460"
169,4D,X2009,"3,460"
170,4E,X2009,"3,460"
171,2A,X2010,810
172,2B,X2010,"7,500"
173,2C,X2010,"4,400"
174,3A,X2010,"19,990"
175,3B,X2010,"9,900"
176,4A,X2010,"2,330"
177,4B,X2010,"2,160"
178,4C,X2010,"3,580"
179,4D,X2010,"3,580"
180,4E,X2010,"3,580"
181,2A,X2011,910
182,2B,X2011,"7,650"
183,2C,X2011,"2,330"
184,3A,X2011,"14,360"
185,3B,X2011,"7,510"
186,4A,X2011,"2,410"
187,4B,X2011,"2,180"
188,4C,X2011,"3,720"
189,4D,X2011,"3,720"
190,4E,X2011,"3,720"
191,2A,X2012,989
192,2B,X2012,"7,038"
193,2C,X2012,"2,624"
194,3A,X2012,"11,918"
195,3B,X2012,"5,070"
196,4A,X2012,"1,567"
197,4B,X2012,"1,869"
198,4C,X2012,"2,465"
199,4D,X2012,"2,465"
200,4E,X2012,"2,465"
201,2A,X2013,990
202,2B,X2013,"7,038"
203,2C,X2013,"2,970"
204,3A,X2013,"11,030"
205,3B,X2013,"4,290"
206,4A,X2013,"1,330"
207,4B,X2013,"1,450"
208,4C,X2013,"1,930"
